,ZHVI,Metro,City,zip,State,zhvi_score
2201,991418.0,Riverside-San Bernardino-Ontario,Palm Springs,92262,CA,3
2202,301667.0,Houston-The Woodlands-Sugar Land,Houston,77035,TX,10
2203,247442.0,Bloomington,Bloomington,47403,IN,10
2204,948516.0,Los Angeles-Long Beach-Anaheim,Brea,92821,CA,3
2205,215981.0,Detroit-Warren-Dearborn,Dearborn Heights,48127,MI,10
2206,1300707.0,New York-Newark-Jersey City,New York,10035,NY,1
2207,257326.0,Daphne-Fairhope-Foley,Daphne,36526,AL,10
2208,136830.0,McAllen-Edinburg-Mission,Donna,78537,TX,10
2209,1514018.0,Seattle-Tacoma-Bellevue,Seattle,98121,WA,1
2210,134875.0,Beaumont-Port Arthur,Port Arthur,77642,TX,10
2211,304493.0,Williston,Williston,58801,ND,10
2212,417019.0,Reno,Sparks,89431,NV,8
2213,561585.0,Baltimore-Columbia-Towson,Ellicott City,21042,MD,7
2214,179196.0,Little Rock-North Little Rock-Conway,Sherwood,72120,AR,10
2215,246894.0,Evansville,Newburgh,47630,IN,10
2216,212816.0,Hartford-West Hartford-East Hartford,Hartford,6106,CT,10
2217,654313.0,Denver-Aurora-Lakewood,Centennial,80112,CO,6
2218,370108.0,Las Vegas-Henderson-Paradise,Las Vegas,89102,NV,9
2219,883323.0,Los Angeles-Long Beach-Anaheim,Garden Grove,92840,CA,4
2220,155098.0,Poplar Bluff,Poplar Bluff,63901,MO,10
2221,1368349.0,Washington-Arlington-Alexandria,Washington,20016,DC,1
2222,379263.0,Chicago-Naperville-Elgin,Lake Zurich,60047,IL,9
2223,394404.0,Houston-The Woodlands-Sugar Land,Houston,77096,TX,9
2224,1203451.0,Salinas,Monterey,93940,CA,1
2225,129839.0,Detroit-Warren-Dearborn,Detroit,48221,MI,10
2226,416093.0,Las Vegas-Henderson-Paradise,Las Vegas,89139,NV,8
2227,3262527.0,San Francisco-Oakland-Hayward,San Francisco,94123,CA,1
2228,270179.0,Minot,Minot,58701,ND,10
2229,231176.0,Fargo,Fargo,58102,ND,10
2230,1101341.0,San Francisco-Oakland-Hayward,Pleasant Hill,94523,CA,1
2231,357897.0,Minneapolis-St. Paul-Bloomington,Minneapolis,55414,MN,9
2232,337821.0,North Port-Sarasota-Bradenton,Bradenton,34205,FL,10
2233,359206.0,Jacksonville,Jacksonville,32258,FL,9
2234,399748.0,Knoxville,Knoxville,37919,TN,9
2235,698402.0,Chicago-Naperville-Elgin,Chicago,60607,IL,6
2236,166056.0,Fayetteville,Fayetteville,28303,NC,10
2237,2561936.0,Los Angeles-Long Beach-Anaheim,Manhattan Beach,90266,CA,1
2238,369542.0,Chicago-Naperville-Elgin,Naperville,60564,IL,9
2239,431280.0,Atlanta-Sandy Springs-Roswell,Peachtree Corners,30092,GA,8
2240,155111.0,Texarkana,Texarkana,75501,TX,10
2241,756010.0,Boston-Cambridge-Newton,Natick,1760,MA,5
2242,590584.0,Riverside-San Bernardino-Ontario,Riverside,92505,CA,7
2243,524907.0,Sacramento--Roseville--Arden-Arcade,West Sacramento,95691,CA,7
2244,648519.0,Reno,Reno,89521,NV,6
2245,275948.0,Baltimore-Columbia-Towson,Windsor Mill,21244,MD,10
2246,294579.0,Kansas City,Overland Park,66212,KS,10
2247,168247.0,Cleveland-Elyria,Eastlake,44095,OH,10
2248,177151.0,Little Rock-North Little Rock-Conway,Cabot,72023,AR,10
2249,899689.0,Oxnard-Thousand Oaks-Ventura,Thousand Oaks,91360,CA,4
2250,768228.0,Crestview-Fort Walton Beach-Destin,Santa Rosa Beach,32459,FL,5
2251,1062626.0,Los Angeles-Long Beach-Anaheim,Glendale,91205,CA,2
2252,249240.0,Bowling Green,Bowling Green,42104,KY,10
2253,191152.0,Omaha-Council Bluffs,Omaha,68104,NE,10
2254,635419.0,Denver-Aurora-Lakewood,Arvada,80004,CO,6
2255,334529.0,Philadelphia-Camden-Wilmington,Philadelphia,19115,PA,10
2256,107391.0,Buffalo-Cheektowaga-Niagara Falls,Buffalo,14215,NY,10
2257,630276.0,Los Angeles-Long Beach-Anaheim,Pomona,91767,CA,6
2258,202456.0,Winona,Winona,55987,MN,10
2259,267936.0,Chicago-Naperville-Elgin,Grayslake,60030,IL,10
2260,469558.0,Tampa-St. Petersburg-Clearwater,Gulfport,33707,FL,8
2261,1191445.0,Los Angeles-Long Beach-Anaheim,North Tustin,92705,CA,1
2262,277813.0,Atlanta-Sandy Springs-Roswell,Villa Rica,30180,GA,10
2263,207855.0,Syracuse,Town Of Lysander,13027,NY,10
2264,132646.0,Jackson,Jackson,38301,TN,10
2265,389120.0,Phoenix-Mesa-Scottsdale,Phoenix,85042,AZ,9
2266,189801.0,Plattsburgh,Town of Plattsburgh,12901,NY,10
2267,262607.0,Great Falls,Great Falls,59405,MT,10
2268,1770752.0,Los Angeles-Long Beach-Anaheim,Los Angeles,91604,CA,1
2269,527034.0,Austin-Round Rock,Georgetown,78628,TX,7
2270,222901.0,Toledo,Bowling Green,43402,OH,10
2271,394841.0,Miami-Fort Lauderdale-West Palm Beach,Oakland Park,33309,FL,9
2272,535053.0,Miami-Fort Lauderdale-West Palm Beach,Miami,33135,FL,7
2273,269463.0,New Haven-Milford,Meriden,6450,CT,10
2274,446050.0,Minneapolis-St. Paul-Bloomington,Stillwater,55082,MN,8
2275,1192068.0,Los Angeles-Long Beach-Anaheim,Huntington Beach,92649,CA,1
2276,534748.0,Washington-Arlington-Alexandria,Burke,22015,VA,7
2277,636341.0,Riverside-San Bernardino-Ontario,Redlands,92373,CA,6
2278,965865.0,Portland-Vancouver-Hillsboro,Portland,97209,OR,3
2279,375026.0,Worcester,Worcester,1604,MA,9
2280,459703.0,Atlanta-Sandy Springs-Roswell,Decatur,30033,GA,8
2281,316370.0,Dallas-Fort Worth-Arlington,Fort Worth,76131,TX,10
2282,589787.0,Seattle-Tacoma-Bellevue,Des Moines,98198,WA,7
2283,614895.0,New York-Newark-Jersey City,New York,10304,NY,6
2284,372466.0,Louisville/Jefferson County,Louisville,40207,KY,9
2285,152079.0,Brownsville-Harlingen,San Benito,78586,TX,10
2286,184114.0,Lexington-Fayette,Winchester,40391,KY,10
2287,697608.0,Punta Gorda,Punta Gorda,33950,FL,6
2288,300213.0,Dayton,Centerville,45458,OH,10
2289,393917.0,Baltimore-Columbia-Towson,Odenton,21113,MD,9
2290,2135725.0,San Jose-Sunnyvale-Santa Clara,Palo Alto,94303,CA,1
2291,989137.0,Urban Honolulu,Aiea,96701,HI,3
2292,389075.0,Yuba City,Yuba City,95991,CA,9
2293,342049.0,Asheville,Hendersonville,28792,NC,10
2294,242276.0,Philadelphia-Camden-Wilmington,Deptford Township,8096,NJ,10
2295,189676.0,Atlanta-Sandy Springs-Roswell,Griffin,30223,GA,10
2296,440299.0,Miami-Fort Lauderdale-West Palm Beach,Hialeah,33010,FL,8
2297,472017.0,Naples-Immokalee-Marco Island,Naples,34120,FL,8
2298,399244.0,Rapid City,Rapid City,57702,SD,9
2299,290977.0,Indianapolis-Carmel-Anderson,Avon,46123,IN,10
2300,309623.0,Richmond,Bon Air,23235,VA,10
2301,1294366.0,Los Angeles-Long Beach-Anaheim,Torrance,90505,CA,1
2302,512923.0,Sacramento--Roseville--Arden-Arcade,Sacramento,95843,CA,7
2303,421334.0,Knoxville,Knoxville,37922,TN,8
2304,241078.0,Longview,Longview,75605,TX,10
2305,518405.0,Salt Lake City,Taylorsville,84123,UT,7
2306,466472.0,Phoenix-Mesa-Scottsdale,Gilbert,85233,AZ,8
2307,426106.0,Phoenix-Mesa-Scottsdale,Mesa,85213,AZ,8
2308,382476.0,Tampa-St. Petersburg-Clearwater,Saint Petersburg,33710,FL,9
